Date: 8.11.15,,,Version 1 Parent Breeding Values,,,,
EW Parents,# Seedlings,# Sowed,Coastal?,Piedmont?,WG Parents,# Seedlings,# Sowed
N05005,5,150,-,-,LSG111,97,150
N07056,>90,150,Y,Y,WG1809,>90,150
N07058,>90,150,Y,Y,WG4039,9,150
N07100,61,150,Y,N,WG4055,0,150
N07105,29,150,Y,Y,WG4302,98,150
N071084,109,150,Y,N,WG4501,125,150
N08001,63,150,Y,Y,WG4801,105,150
N08026,6,150,-,-,WG5730,1,128
N08030,7,150,-,-,WG5831,>90,150
N08059,53,150,Y,Y,WG7083,68,167
N08061,73,150,Y,Y,WG7192,150,150
N08068,5,150,-,-,WG7206,>90,150
N08103,14,66,Y,Y,WG7442,113,150
N101027,>90,150,Y,N,WG7478,15,150
N111027,12,166,-,-,WG7720,150,150
N111062,97,150,Y,Y,,,
N111095,107,150,Y,Y,,,
N12008,>90,150,Y,Y,,,
N18102,2,150,-,-,,,
N221004,63,150,Y,Y,,,
N22204,60,150,Y,N,,,
N22212,110,150,Y,N,,,
N22269,>90,150,Y,N,,,
N51049,94,150,N,Y,,,
N51501,61,150,Y,Y,,,
,,,,,,,
#Seedlings,TIP,WG,Total Families,,,,
>90,10,10,20,,,,
90<x>60,6,1,7,,,,
60<x>30,1,0,1,,,,
30<x>15,1,0,1,,,,
<15,7,4,11,,,,
Total,25,15,40,,,,
