Sample,Barcode,,Pool1,,,Pool2,,,Pool3,,,Pool4,,,Pool5,,,Pool6,
1,j,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode
2,r,,32,a,,10,a,,86,a,,49,a,,49,a,,86,a
3,c,,15,b,,60,b,,25,b,,92,b,,15,b,,92,b
4,n,,57,c,,3,c,,28,c,,85,c,,28,c,,85,c
5,o,,66,d,,11,d,,91,d,,31,d,,31,d,,66,d
6,p,,24,e,,84,e,,43,e,,69,e,,69,e,,24,e
7,h,,64,f,,93,f,,13,f,,34,f,,13,f,,93,f
8,k,,53,g,,22,g,,74,g,,42,g,,42,g,,74,g
9,x,,7,h,,68,h,,26,h,,83,h,,7,h,,26,h
10,a,,16,i,,45,i,,75,i,,58,i,,16,i,,45,i
11,d,,37,j,,59,j,,80,j,,1,j,,1,j,,37,j
12,l,,48,k,,95,k,,8,k,,54,k,,54,k,,8,k
13,f,,96,l,,36,l,,12,l,,50,l,,36,l,,12,l
14,u,,78,m,,18,m,,61,m,,46,m,,61,m,,46,m
15,b,,56,n,,88,n,,4,n,,47,n,,47,n,,56,n
16,i,,90,o,,5,o,,65,o,,38,o,,38,o,,5,o
17,s,,6,p,,77,p,,33,p,,67,p,,77,p,,67,p
18,m,,89,q,,35,q,,55,q,,21,q,,89,q,,55,q
19,t,,81,r,,29,r,,52,r,,2,r,,52,r,,29,r
20,v,,17,s,,40,s,,79,s,,72,s,,72,s,,17,s
21,q,,76,t,,62,t,,19,t,,27,t,,19,t,,27,t
22,g,,71,u,,94,u,,30,u,,14,u,,14,u,,71,u
23,w,,44,v,,63,v,,87,v,,20,v,,63,v,,44,v
24,e,,41,w,,51,w,,82,w,,23,w,,82,w,,41,w
25,b,,73,x,,9,x,,70,x,,39,x,,9,x,,73,x
26,h,,,,,,,,,,,,,,,,,,
27,t,,,,,,,,,,,,,,,,,,
28,c,,,,,,,,,,,,,,,,,,
29,r,,,,,,,,,,,,,,,,,,
30,u,,Pool7,,,Pool8,,,Pool9,,,Pool10,,,Pool11,,,Pool12,
31,d,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode,,Sample,Barcode
32,a,,32,a,,10,a,,32,a,,10,a,,86,a,,49,a
33,p,,25,b,,60,b,,25,b,,92,b,,15,b,,60,b
34,f,,3,c,,57,c,,28,c,,85,c,,57,c,,3,c
35,q,,91,d,,11,d,,91,d,,31,d,,66,d,,11,d
36,l,,43,e,,84,e,,43,e,,84,e,,24,e,,69,e
37,j,,34,f,,64,f,,93,f,,34,f,,64,f,,13,f
38,o,,22,g,,53,g,,74,g,,42,g,,53,g,,22,g
39,x,,83,h,,68,h,,26,h,,68,h,,7,h,,83,h
40,s,,75,i,,58,i,,16,i,,45,i,,58,i,,75,i
41,w,,59,j,,80,j,,80,j,,1,j,,59,j,,37,j
42,g,,95,k,,48,k,,95,k,,48,k,,54,k,,8,k
43,e,,96,l,,50,l,,36,l,,50,l,,12,l,,96,l
44,v,,78,m,,18,m,,61,m,,46,m,,18,m,,78,m
45,i,,4,n,,88,n,,56,n,,4,n,,47,n,,88,n
46,m,,90,o,,65,o,,5,o,,90,o,,38,o,,65,o
47,n,,6,p,,33,p,,6,p,,33,p,,67,p,,77,p
48,k,,35,q,,21,q,,89,q,,21,q,,35,q,,55,q
49,a,,81,r,,2,r,,2,r,,81,r,,29,r,,52,r
50,l,,40,s,,79,s,,79,s,,17,s,,72,s,,40,s
51,w,,62,t,,76,t,,19,t,,62,t,,27,t,,76,t
52,r,,94,u,,30,u,,14,u,,30,u,,94,u,,71,u
53,g,,87,v,,20,v,,87,v,,20,v,,44,v,,63,v
54,k,,23,w,,51,w,,41,w,,51,w,,82,w,,23,w
55,q,,39,x,,70,x,,73,x,,9,x,,39,x,,70,x
56,n,,,,,,,,,,,,,,,,,,
57,c,,,,,,,,,,,,,,,,,,
58,i,,,,,,,,,,,,,,,,,,
59,j,,,,,,,,,,,,,,,,,,
60,b,,,,,,,,,,,,,,,,,,
61,m,,,,,,,,,,,,,,,,,,
62,t,,,,,,,,,,,,,,,,,,
63,v,,,,,,,,,,,,,,,,,,
64,f,,,,,,,,,,,,,,,,,,
65,o,,,,,,,,,,,,,,,,,,
66,d,,,,,,,,,,,,,,,,,,
67,p,,,,,,,,,,,,,,,,,,
68,h,,,,,,,,,,,,,,,,,,
69,e,,,,,,,,,,,,,,,,,,
70,x,,,,,,,,,,,,,,,,,,
71,u,,,,,,,,,,,,,,,,,,
72,s,,,,,,,,,,,,,,,,,,
73,x,,,,,,,,,,,,,,,,,,
74,g,,,,,,,,,,,,,,,,,,
75,i,,,,,,,,,,,,,,,,,,
76,t,,,,,,,,,,,,,,,,,,
77,p,,,,,,,,,,,,,,,,,,
78,m,,,,,,,,,,,,,,,,,,
79,s,,,,,,,,,,,,,,,,,,
80,j,,,,,,,,,,,,,,,,,,
81,r,,,,,,,,,,,,,,,,,,
82,w,,,,,,,,,,,,,,,,,,
83,h,,,,,,,,,,,,,,,,,,
84,e,,,,,,,,,,,,,,,,,,
85,c,,,,,,,,,,,,,,,,,,
86,a,,,,,,,,,,,,,,,,,,
87,v,,,,,,,,,,,,,,,,,,
88,n,,,,,,,,,,,,,,,,,,
89,q,,,,,,,,,,,,,,,,,,
90,o,,,,,,,,,,,,,,,,,,
91,d,,,,,,,,,,,,,,,,,,
92,b,,,,,,,,,,,,,,,,,,
93,f,,,,,,,,,,,,,,,,,,
94,u,,,,,,,,,,,,,,,,,,
95,k,,,,,,,,,,,,,,,,,,
96,l,,,,,,,,,,,,,,,,,,
