smp.name,Index,lib_size,Pool,lane_number
17a,1,394,X1,1
72b,2,414,X1,1
136c,3,411,X1,1
37d,4,407,X1,1
129e,5,402,X1,1
68f,6,398,X1,1
19g,7,390,X1,1
127h,8,388,X1,1
120i,9,394,X1,1
33j,10,398,X1,1
102k,11,399,X1,1
105l,12,411,X1,1
36m,13,393,X1,1
23n,14,391,X1,1
143o,15,389,X1,1
10p,16,394,X1,1
47q,18,394,X1,1
114r,19,401,X1,1
111s,20,405,X1,1
24t,21,401,X1,1
109u,22,406,X1,1
41v,23,400,X1,1
115w,25,395,X1,1
116x,27,401,X1,1
133a,1,415,X2,2
6b,2,386,X2,2
67c,3,437,X2,2
123d,4,419,X2,2
106e,5,404,X2,2
13f,6,444,X2,2
34g,7,399,X2,2
75h,8,388,X2,2
61i,9,403,X2,2
4j,10,399,X2,2
79k,11,401,X2,2
125l,12,404,X2,2
60m,13,403,X2,2
65n,14,412,X2,2
119o,15,408,X2,2
64p,16,370,X2,2
2q,18,408,X2,2
43r,19,399,X2,2
3s,20,423,X2,2
135t,21,400,X2,2
140u,22,403,X2,2
117v,23,410,X2,2
16w,25,404,X2,2
29x,27,398,X2,2
104a,1,364,X3,3
101b,2,365,X3,3
78c,3,363,X3,3
63d,4,372,X3,3
57e,5,363,X3,3
93f,6,367,X3,3
62g,7,372,X3,3
110h,8,366,X3,3
134i,9,377,X3,3
70j,10,374,X3,3
66k,11,372,X3,3
8l,12,374,X3,3
98m,13,372,X3,3
40n,14,375,X3,3
89o,15,379,X3,3
80p,16,376,X3,3
141q,18,385,X3,3
54r,19,382,X3,3
30s,20,375,X3,3
82t,21,375,X3,3
69u,22,381,X3,3
5v,23,380,X3,3
42w,25,383,X3,3
71x,27,382,X3,3
56a,1,429,X4,4
32b,2,414,X4,4
113c,3,426,X4,4
112d,4,445,X4,4
77e,5,427,X4,4
130f,6,429,X4,4
86g,7,450,X4,4
59h,8,425,X4,4
44i,9,431,X4,4
137j,10,432,X4,4
9k,11,425,X4,4
96l,12,427,X4,4
87m,13,453,X4,4
76n,14,431,X4,4
1o,15,436,X4,4
27p,16,411,X4,4
118q,18,438,X4,4
84r,19,431,X4,4
83s,20,429,X4,4
99t,21,428,X4,4
85u,22,429,X4,4
53v,23,436,X4,4
144w,25,435,X4,4
121x,27,440,X4,4
31a,1,389,X5,5
132b,2,394,X5,5
46c,3,416,X5,5
91d,4,419,X5,5
21e,5,408,X5,5
38f,6,391,X5,5
108g,7,397,X5,5
20h,8,393,X5,5
14i,9,393,X5,5
92j,10,396,X5,5
139k,11,405,X5,5
48l,12,409,X5,5
131m,13,407,X5,5
100n,14,407,X5,5
45o,15,400,X5,5
97p,16,407,X5,5
55q,18,421,X5,5
126r,19,411,X5,5
138s,20,418,X5,5
39t,21,402,X5,5
26u,22,409,X5,5
128v,23,428,X5,5
52w,25,415,X5,5
11x,27,410,X5,5
95a,1,410,X6,6
94b,2,416,X6,6
7c,3,429,X6,6
18d,4,425,X6,6
25e,5,416,X6,6
107f,6,424,X6,6
142g,7,419,X6,6
28h,8,418,X6,6
88i,9,426,X6,6
103j,10,425,X6,6
35k,11,452,X6,6
51l,12,416,X6,6
15m,13,416,X6,6
122n,14,443,X6,6
58o,15,430,X6,6
124p,16,431,X6,6
90q,18,429,X6,6
22r,19,451,X6,6
49s,20,421,X6,6
50t,21,415,X6,6
12u,22,426,X6,6
74v,23,420,X6,6
81w,25,423,X6,6
73x,27,422,X6,6
95a,1,410,Y1,7
94b,2,416,Y1,7
7c,3,429,Y1,7
18d,4,425,Y1,7
129e,5,402,Y1,7
