,LANE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,REP,X1,X2,X3,X4,X5,X6,X1,X2,X3,X4,X5,X6,X1,X2,X3,X4,X5,X6
,1,17a,133a,104a,56a,31a,95a,95a,17a,133a,104a,56a,31a,31a,95a,56a,133a,17a,104a
,2,72b,6b,101b,32b,132b,94b,94b,132b,6b,101b,32b,72b,101b,32b,72b,132b,94b,6b
,3,136c,67c,78c,113c,46c,7c,7c,78c,46c,67c,136c,113c,46c,67c,136c,113c,7c,78c
,4,37d,123d,63d,112d,91d,18d,18d,123d,91d,37d,112d,63d,18d,123d,37d,63d,91d,112d
,5,129e,106e,57e,77e,21e,25e,129e,77e,21e,106e,25e,57e,25e,106e,21e,77e,57e,129e
,6,68f,13f,93f,130f,38f,107f,107f,68f,38f,13f,130f,93f,93f,13f,68f,130f,38f,107f
,7,19g,34g,62g,86g,108g,142g,62g,19g,108g,86g,34g,142g,86g,19g,34g,142g,62g,108g
,8,127h,75h,110h,59h,20h,28h,75h,59h,127h,110h,28h,20h,59h,28h,127h,75h,20h,110h
,9,120i,61i,134i,44i,14i,88i,61i,120i,14i,44i,134i,88i,120i,14i,44i,88i,61i,134i
,10,33j,4j,70j,137j,92j,103j,4j,70j,92j,33j,103j,137j,137j,70j,33j,103j,4j,92j
,11,102k,79k,66k,9k,139k,35k,139k,35k,9k,66k,79k,102k,79k,102k,9k,35k,139k,66k
,12,105l,125l,8l,96l,48l,51l,125l,48l,8l,105l,96l,51l,48l,96l,125l,105l,8l,51l
,13,36m,60m,98m,87m,131m,15m,60m,87m,15m,36m,98m,131m,60m,15m,36m,131m,98m,87m
,14,23n,65n,40n,76n,100n,122n,122n,23n,40n,65n,76n,100n,100n,76n,122n,65n,23n,40n
,15,143o,119o,89o,1o,45o,58o,143o,89o,58o,45o,119o,1o,143o,58o,89o,45o,119o,1o
,16,10p,64p,80p,27p,97p,124p,80p,64p,124p,10p,97p,27p,64p,97p,80p,27p,10p,124p
,17,47q,2q,141q,118q,55q,90q,118q,90q,47q,2q,55q,141q,2q,141q,55q,47q,90q,118q
,18,114r,43r,54r,84r,126r,22r,126r,54r,22r,43r,114r,84r,84r,22r,54r,126r,43r,114r
,19,111s,3s,30s,83s,138s,49s,138s,111s,30s,49s,83s,3s,49s,30s,3s,138s,83s,111s
,20,24t,135t,82t,99t,39t,50t,82t,39t,24t,135t,99t,50t,99t,82t,24t,50t,39t,135t
,21,109u,140u,69u,85u,26u,12u,85u,26u,69u,109u,140u,12u,12u,69u,85u,26u,140u,109u
,22,41v,117v,5v,53v,128v,74v,117v,128v,53v,74v,5v,41v,5v,53v,128v,117v,41v,74v
,23,115w,16w,42w,144w,52w,81w,42w,81w,115w,52w,144w,16w,52w,115w,42w,16w,144w,81w
,24,116x,29x,71x,121x,11x,73x,73x,116x,71x,29x,11x,121x,116x,11x,29x,121x,71x,73x
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Call name,Set 1,Set 2,Set 3,,,,,,,,,,,,,,,,
1o,1,1,1,,,,,,,,,,,,,,,,
2q,1,1,1,,,,,,,,,,,,,,,,
3s,1,1,1,,,,,,,,,,,,,,,,
4j,1,1,1,,,,,,,,,,,,,,,,
5v,1,1,1,,,,,,,,,,,,,,,,
6b,1,1,1,,,,,,,,,,,,,,,,
7c,1,1,1,,,,,,,,,,,,,,,,
8l,1,1,1,,,,,,,,,,,,,,,,
9k,1,1,1,,,,,,,,,,,,,,,,
10p,1,1,1,,,,,,,,,,,,,,,,
11x,1,1,1,,,,,,,,,,,,,,,,
12u,1,1,1,,,,,,,,,,,,,,,,
13f,1,1,1,,,,,,,,,,,,,,,,
14i,1,1,1,,,,,,,,,,,,,,,,
15m,1,1,1,,,,,,,,,,,,,,,,
16w,1,1,1,,,,,,,,,,,,,,,,
